ev_time_on_ice,ev_time_on_ice_per_game,games_played,last_name,ot_time_on_ice,ot_time_on_ice_per_ot_game,player_id,position_code,pp_time_on_ice,pp_time_on_ice_per_game,season_id,sh_time_on_ice,sh_time_on_ice_per_game,shifts,shifts_per_game,shoots_catches,skater_full_name,team_abbrevs,time_on_ice,time_on_ice_per_game,time_on_ice_per_shift
46263,856.72222,54,Cooley,373,33.90909,8483431,C,8178,151.44444,20252026,1701,31.5,1147,21.24074,L,Logan Cooley,UTA,56142,1039.66666,48.94681
41563,769.68518,54,Bowman,8,0.5,8483890,R,4201,77.79629,20252026,21,0.38888,973,18.01851,R,Braeden Bowman,VGK,45785,847.87037,47.05549
47418,878.11111,54,Balinskis,140,17.5,8484304,D,4048,74.96296,20252026,1577,29.2037,1136,21.03703,L,Uvis Balinskis,FLA,53043,982.27777,46.69278
35884,664.51851,54,Wood,125,7.35294,8477425,L,131,2.42592,20252026,2400,44.44444,863,15.98148,L,Miles Wood,CBJ,38415,711.38888,44.51332
51932,961.7037,54,Rinzel,491,35.07142,8483506,D,6614,122.48148,20252026,657,12.16666,1142,21.14814,R,Sam Rinzel,CHI,59203,1096.35185,51.8415
48204,892.66666,54,Petrovic,90,6.92307,8475755,D,30,0.55555,20252026,1510,27.96296,1021,18.9074,R,Alexander Petrovic,DAL,49744,921.18518,48.72086
45334,855.35849,53,Lyubushkin,60,4.28571,8480950,D,46,0.86792,20252026,4675,88.20754,1064,20.07547,R,Ilya Lyubushkin,DAL,50055,944.43396,47.04417
30266,571.0566,53,Slaggert,0,0,8482172,L,20,0.37735,20252026,3277,61.83018,803,15.15094,L,Landon Slaggert,CHI,33563,633.26415,41.79701
43571,822.09433,53,Hintz,787,60.53846,8478449,C,9805,185,20252026,1770,33.39622,1137,21.45283,L,Roope Hintz,DAL,55146,1040.49056,48.50131
54259,1023.75471,53,Walman,269,15.82352,8478013,D,2233,42.13207,20252026,3135,59.15094,1253,23.6415,L,Jake Walman,EDM,59627,1125.03773,47.58739
47430,894.90566,53,Desharnais,28,2.15384,8479576,D,114,2.15094,20252026,10260,193.5849,1115,21.03773,R,Vincent Desharnais,SJS,57804,1090.6415,51.84215
25280,476.98113,53,Helenius,0,0,8482726,C,62,1.16981,20252026,33,0.62264,593,11.18867,L,Samuel Helenius,LAK,25375,478.77358,42.79089
38498,740.34615,52,Juulsen,27,1.42105,8478454,D,18,0.34615,20252026,4590,88.26923,1070,20.57692,R,Noah Juulsen,PHI,43106,828.96153,40.28598
42484,817,52,Barron,0,0,8482111,D,762,14.65384,20252026,1215,23.36538,977,18.78846,R,Justin Barron,NSH,44461,855.01923,45.50767
37205,715.48076,52,Kuzmenko,499,24.95,8483808,L,9332,179.46153,20252026,0,0,813,15.63461,R,Andrei Kuzmenko,LAK,46537,894.9423,57.24108
42040,808.46153,52,McCann,624,56.72727,8477955,L,8908,171.30769,20252026,326,6.26923,1114,21.42307,L,Jared McCann,SEA,51274,986.03846,46.02692
40533,779.48076,52,Marchand,386,55.14285,8473419,L,11590,222.88461,20252026,3210,61.73076,1133,21.78846,L,Brad Marchand,FLA,55333,1064.09615,48.83759
55670,1070.57692,52,Jones,906,113.25,8477495,D,11104,213.53846,20252026,7164,137.76923,1408,27.07692,R,Seth Jones,FLA,73938,1421.88461,52.51278
50785,976.63461,52,Lundkvist,65,3.82352,8480878,D,324,6.23076,20252026,313,6.01923,1077,20.71153,R,Nils Lundkvist,DAL,51422,988.88461,47.74558
32035,616.05769,52,Meyers,0,0,8483570,C,187,3.59615,20252026,5025,96.63461,908,17.46153,L,Ben Meyers,SEA,37247,716.28846,41.02092
37290,717.11538,52,Strome,240,16,8476458,C,3917,75.32692,20252026,268,5.15384,938,18.03846,R,Ryan Strome,"ANA,CGY",41475,797.59615,44.21641
33103,636.59615,52,Sundqvist,39,4.33333,8476897,C,2785,53.55769,20252026,4565,87.78846,976,18.76923,R,Oskar Sundqvist,STL,40453,777.9423,41.44774
38081,746.68627,51,Texier,334,23.85714,8480074,L,3000,58.82352,20252026,700,13.72549,864,16.94117,L,Alexandre Texier,"STL,MTL",41781,819.23529,48.35763
36904,723.60784,51,Paul,236,21.45454,8477426,L,3716,72.86274,20252026,1244,24.39215,889,17.43137,L,Nick Paul,TBL,41864,820.86274,47.09111
57022,1118.07843,51,Pionk,556,55.6,8480145,D,4884,95.7647,20252026,7586,148.74509,1409,27.62745,R,Neal Pionk,WPG,69492,1362.58823,49.32008
31834,624.19607,51,Nyquist,212,14.13333,8474679,R,5443,106.72549,20252026,1520,29.80392,856,16.78431,L,Gustav Nyquist,WPG,38797,760.72549,45.32359
38706,758.94117,51,Berggren,321,29.18181,8481013,R,3566,69.92156,20252026,23,0.45098,903,17.70588,L,Jonatan Berggren,"DET,STL",42295,829.31372,46.83831
35169,689.58823,51,Moore,528,44,8484197,C,3265,64.0196,20252026,862,16.90196,897,17.58823,L,Oliver Moore,CHI,39296,770.5098,43.80824
28370,556.2745,51,Kiviranta,0,0,8481641,L,179,3.5098,20252026,3195,62.64705,799,15.66666,L,Joel Kiviranta,COL,31744,622.43137,39.72966
34242,671.41176,51,Joseph,0,0,8478472,R,118,2.31372,20252026,2322,45.52941,870,17.05882,L,Mathieu Joseph,"STL,LAK",36682,719.2549,42.16321
46997,939.94,50,Lilleberg,0,0,8482929,D,82,1.64,20252026,4845,96.9,1124,22.48,L,Emil Lilleberg,TBL,51924,1038.48,46.19572
43787,875.74,50,Rossi,996,71.14285,8482079,C,7238,144.76,20252026,1400,28,988,19.76,L,Marco Rossi,"MIN,VAN",52425,1048.5,53.06174
23341,466.82,50,Reaves,0,0,8471817,R,57,1.14,20252026,26,0.52,546,10.92,R,Ryan Reaves,SJS,23424,468.48,42.90109
36112,722.24,50,Schenn,0,0,8474568,D,14,0.28,20252026,4868,97.36,920,18.4,R,Luke Schenn,"WPG,BUF",40994,819.88,44.55869
44093,881.86,50,Clifton,0,0,8477365,D,34,0.68,20252026,6170,123.4,934,18.68,R,Connor Clifton,PIT,50297,1005.94,53.85117
47045,940.9,50,Mukhamadullin,66,5.5,8482166,D,180,3.6,20252026,4202,84.04,1016,20.32,L,Shakir Mukhamadullin,SJS,51427,1028.54,50.61712
40997,819.94,50,Schwartz,434,36.16666,8475768,L,4918,98.36,20252026,2507,50.14,1045,20.9,L,Jaden Schwartz,SEA,48422,968.44,46.33684
42669,853.38,50,Huberdeau,470,52.22222,8476456,L,8740,174.8,20252026,2985,59.7,1171,23.42,L,Jonathan Huberdeau,CGY,54394,1087.88,46.45089
44217,884.34,50,Bichsel,188,11.75,8483425,D,33,0.66,20252026,2750,55,972,19.44,L,Lian Bichsel,DAL,47000,940,48.3539
30801,616.02,50,Vatrano,0,0,8478366,R,2244,44.88,20252026,2422,48.44,827,16.54,L,Frank Vatrano,ANA,35467,709.34,42.88633
31768,635.36,50,Bryson,0,0,8480196,D,3,0.06,20252026,818,16.36,768,15.36,L,Jacob Bryson,"BUF,WPG",32589,651.78,42.43359
